origin,body,frame,file,n_events,n_pairs,n_near45,near45_sep_median,near45_sep_p90,velocity_robust_deg_per_hr,samedate_sep_median,samedate_sep_p90,daily_drift_med_deg_per_day,operational_scale_flag
EA,CE,G-LON,EA_x_CE_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.713348880179936,same-slate-discriminator
EA,CE,G-RA,EA_x_CE_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.5,same-slate-discriminator
EA,JN,G-LON,EA_x_JN_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.754327186019864,same-slate-discriminator
EA,JN,G-RA,EA_x_JN_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.508147111260122,same-slate-discriminator
EA,JU,G-LON,EA_x_JU_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.65344765393251,same-slate-discriminator
EA,JU,G-RA,EA_x_JU_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.465653248316784,same-slate-discriminator
EA,MA,G-LON,EA_x_MA_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.713219706384734,same-slate-discriminator
EA,MA,G-RA,EA_x_MA_G-RA,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.53658967851041,same-slate-discriminator
EA,ME,G-AZ,EA_x_ME_G-AZ,46152,297352,80481,5.0,20.0,4.0,7.0,96.0,,same-slate-discriminator
EA,ME,G-LON,EA_x_ME_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.79597822416322,same-slate-discriminator
EA,ME,G-RA,EA_x_ME_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.71730389994994,same-slate-discriminator
EA,MO,G-LON,EA_x_MO_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,85.0,27.39115058936062,same-slate-discriminator
EA,MO,G-RA,EA_x_MO_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,85.0,27.233748567744854,same-slate-discriminator
EA,NE,G-LON,EA_x_NE_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.68722713265413,same-slate-discriminator
