origin,body,frame,dt_bin,n_pairs,dt_median_min,sep_median,sep_p90
Asc,PL,G-AZ,15-30,10357,25.0,7.0,25.0
Asc,PL,G-AZ,30-45,15407,32.0,7.0,24.0
Asc,PL,G-AZ,45-90,53296,60.0,6.0,20.0
Asc,PL,G-AZ,90-180,70030,125.0,8.0,34.0
Asc,PL,G-AZ,180-360,65469,211.0,41.0,109.0
Asc,PL,G-AZ,>360,28565,418.0,89.0,127.0
Asc,PL,G-LON,<=15,54228,3.0,5.0,15.0
Asc,PL,G-LON,15-30,10357,25.0,6.0,18.0
Asc,PL,G-LON,30-45,15407,32.0,6.0,17.0
Asc,PL,G-LON,45-90,53296,60.0,5.0,16.0
Asc,PL,G-LON,90-180,70030,125.0,7.0,32.0
Asc,PL,G-LON,180-360,65469,211.0,46.0,85.0
Asc,PL,G-LON,>360,28565,418.0,79.0,105.0
Asc,PL,G-RA,<=15,54228,3.0,5.0,15.0
Asc,PL,G-RA,15-30,10357,25.0,6.0,18.0
Asc,PL,G-RA,30-45,15407,32.0,6.0,17.0
Asc,PL,G-RA,45-90,53296,60.0,5.0,16.0
Asc,PL,G-RA,90-180,70030,125.0,7.0,32.0
Asc,PL,G-RA,180-360,65469,211.0,45.0,88.0
Asc,PL,G-RA,>360,28565,418.0,78.0,108.0
Asc,SA,G-AZ,<=15,54228,3.0,6.0,19.0
Asc,SA,G-AZ,15-30,10357,25.0,7.0,23.0
Asc,SA,G-AZ,30-45,15407,32.0,6.0,22.0
Asc,SA,G-AZ,45-90,53296,60.0,6.0,19.0
Asc,SA,G-AZ,90-180,70030,125.0,7.0,33.0
Asc,SA,G-AZ,180-360,65469,211.0,34.0,109.0
Asc,SA,G-AZ,>360,28565,418.0,85.0,129.0
Asc,SA,G-LON,<=15,54228,3.0,5.0,15.0
Asc,SA,G-LON,15-30,10357,25.0,6.0,18.0
Asc,SA,G-LON,30-45,15407,32.0,6.0,17.0
Asc,SA,G-LON,45-90,53296,60.0,5.0,16.0
Asc,SA,G-LON,90-180,70030,125.0,7.0,32.0
Asc,SA,G-LON,180-360,65469,211.0,46.0,85.0
Asc,SA,G-LON,>360,28565,418.0,79.0,105.0
Asc,SA,G-RA,<=15,54228,3.0,5.0,15.0
Asc,SA,G-RA,15-30,10357,25.0,6.0,18.0
Asc,SA,G-RA,30-45,15407,32.0,6.0,17.0
Asc,SA,G-RA,45-90,53296,60.0,5.0,16.0
Asc,SA,G-RA,90-180,70030,125.0,7.0,32.0
Asc,SA,G-RA,180-360,65469,211.0,45.0,88.0
Asc,SA,G-RA,>360,28565,418.0,77.0,108.0
Asc,SU,G-AZ,<=15,54228,3.0,5.0,19.0
Asc,SU,G-AZ,15-30,10357,25.0,7.0,31.0
Asc,SU,G-AZ,30-45,15407,32.0,7.0,28.0
Asc,SU,G-AZ,45-90,53296,60.0,4.0,21.0
Asc,SU,G-AZ,90-180,70030,125.0,6.0,42.0
Asc,SU,G-AZ,180-360,65469,211.0,43.0,103.0
