fold,feature_id,resolution,peak_degree,peak_rate,peak_lift,support_at_peak,local_gradient,below_support_floor,hs16_prior,peak_shift_from_hs16
5,EA G-LON x MO G-RA,5.0,271,0.5385,1.1662,364,0.02615,False,28.0,117.0
5,MC G-LON x MO G-RA,5.0,8,0.5462,1.183,357,0.020181,False,117.0,109.0
5,VX G-LON x MO G-RA,6.0,64,0.5323,1.1529,449,0.019641,False,80.0,16.0
5,VX G-RA x MO G-LON,6.0,62,0.5488,1.1887,430,0.030683,False,354.0,68.0
5,Asc x JN G-RA,5.0,258,0.5281,1.1438,498,0.01608,False,122.0,136.0
5,Asc x MA G-RA,5.0,33,0.5222,1.1311,180,0.042453,False,63.0,30.0
5,Asc x PA G-RA,5.0,335,0.5406,1.1709,357,0.02484,False,87.0,112.0
5,EA x CE G-RA,5.0,121,0.5193,1.1247,337,0.017484,False,329.0,152.0
5,EA x MO G-RA,5.0,279,0.5359,1.1607,362,0.016569,False,79.0,160.0
5,EA x VS G-RA,5.0,202,0.5197,1.1256,508,0.035163,False,323.0,121.0
5,MC x CE G-RA,5.0,211,0.5193,1.1247,337,0.017484,False,59.0,152.0
5,MC x VS G-RA,5.0,292,0.5197,1.1256,508,0.035163,False,53.0,121.0
5,VX x MA G-RA,6.0,167,0.54,1.1696,250,0.031556,False,169.0,2.0
5,VX x PA G-RA,6.0,151,0.5176,1.1212,425,0.018223,False,219.0,68.0
5,Asc x JU G-AZ,6.0,38,0.5316,1.1513,412,0.02332,False,70.0,32.0
5,Asc x NN G-AZ,6.0,277,0.5254,1.138,236,0.033688,False,295.0,18.0
5,EA x JU G-AZ,6.0,48,0.5282,1.144,390,0.018692,False,80.0,32.0
5,EA x NN G-AZ,6.0,48,0.518,1.1219,278,0.019898,False,82.0,34.0
5,Asc x SA G-AZ,6.0,238,0.5459,1.1823,218,0.025073,False,252.0,14.0
5,EA x SA G-AZ,6.0,238,0.5478,1.1865,230,0.019688,False,261.0,23.0
